연도,시군구명,법정동명,법정동,법정동코드,0_3m_최다지층_경암층,0_3m_최다지층_기타,0_3m_최다지층_매립토층,0_3m_최다지층_붕적토층,0_3m_최다지층_전답토층,0_3m_최다지층_퇴적토층,0_3m_최다지층_풍화암층,0_3m_최다지층_풍화토층,3_10m_최다지층_기타,3_10m_최다지층_매립토층,3_10m_최다지층_붕적토층,3_10m_최다지층_연암층,3_10m_최다지층_퇴적토층,3_10m_최다지층_풍화암층,3_10m_최다지층_풍화토층,10_20m_최다지층_경암층,10_20m_최다지층_연암층,10_20m_최다지층_퇴적토층,10_20m_최다지층_풍화암층,10_20m_최다지층_풍화토층,20_30m_최다지층_경암층,20_30m_최다지층_연암층,20_30m_최다지층_풍화암층,20_30m_최다지층_풍화토층,30m이하_최다지층_경암층,30m이하_최다지층_연암층,30m이하_최다지층_풍화암층,30m이하_최다지층_풍화토층,전체_우세지층_경암층,전체_우세지층_기타,전체_우세지층_매립토층,전체_우세지층_붕적토층,전체_우세지층_연암층,전체_우세지층_전답토층,전체_우세지층_퇴적토층,전체_우세지층_풍화암층,전체_우세지층_풍화토층,평균 침수심,평균 침수면적,평균 침수위,평균 침수시간,침수여부,공사횟수,평균굴착용적,평균굴착면적,평균최대굴착깊이,시설용량,처리구역면적_합류식,처리구역면적_분류식,하수관로_총시설연장,하수관로_지선합류식,하수관로_지선분류식,용량_대_면적,지선_합류_대_분류,지하철역_개수,싱크홀 발생 여부
2024,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,15.11,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,2,0
2025,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,15.11,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,2,0
2018,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,0,,,,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,1,0
2019,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,1,0.0,0.0,14.72,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,1,0
2020,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,1,0.0,0.0,14.72,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,1,0
2021,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,21.685,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,1,0
2022,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1,128.0,16.27,1.0,1,3,0.0,0.0,21.886666666666667,1590000.0,11.7,1.9,404801.63,385103.37,5817.49,116911.76470588236,0.985118496874278,1,0
2023,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,5,0.0,0.0,22.304,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,1,0
2024,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,3,0.0,0.0,21.15333333333333,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,1,0
2025,동대문구,용두동,동대문구_용두동,1123010200,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,3,0.0,0.0,21.87333333333333,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,1,0
